,TP9,AF7,AF8,TP10,Right AUX,timestamps
100,0.000,-27.344,-15.137,970.703,0.000,1731707843.483
101,0.000,-27.344,-21.973,970.703,0.000,1731707843.487
102,0.000,-25.391,-27.832,970.703,0.000,1731707843.490
103,0.000,-19.531,-24.414,970.703,0.000,1731707843.494
104,0.000,-34.668,-25.391,970.703,0.000,1731707843.497
105,0.000,-50.781,-31.738,970.703,0.000,1731707843.501
106,0.000,-50.781,-34.668,970.703,0.000,1731707843.504
107,0.000,-39.551,-27.344,971.680,0.000,1731707843.507
108,-1000.000,-28.809,-18.066,908.203,0.000,1731707843.512
109,-1000.000,-28.320,-18.555,-890.625,0.000,1731707843.516
110,-1000.000,-37.109,-23.926,189.453,0.000,1731707843.519
111,-1000.000,-46.875,-28.320,-1000.000,0.000,1731707843.523
112,-1000.000,-41.992,-29.785,-984.375,0.000,1731707843.526
113,-1000.000,-33.691,-32.715,-973.145,0.000,1731707843.530
114,-1000.000,-32.715,-33.691,-1000.000,0.000,1731707843.533
115,-1000.000,-54.688,-34.668,-1000.000,0.000,1731707843.537
116,-1000.000,-64.941,-38.086,-1000.000,0.000,1731707843.540
117,-1000.000,-42.969,-38.574,-1000.000,0.000,1731707843.544
118,-1000.000,-39.551,-34.180,-1000.000,0.000,1731707843.547
119,-1000.000,-42.480,-33.691,-1000.000,0.000,1731707843.550
120,-1000.000,-31.738,-30.273,-1000.000,0.000,1731707843.556
121,-1000.000,-27.344,-22.949,-1000.000,0.000,1731707843.559
122,-1000.000,-31.738,-24.414,-1000.000,0.000,1731707843.562
123,-1000.000,-27.344,-29.297,-1000.000,0.000,1731707843.566
124,-1000.000,-25.391,-28.320,-1000.000,0.000,1731707843.569
125,-1000.000,-36.133,-25.391,-1000.000,0.000,1731707843.573
126,-1000.000,-38.574,-24.414,-1000.000,0.000,1731707843.576
127,-1000.000,-53.711,-32.227,-1000.000,0.000,1731707843.580
128,-1000.000,-62.988,-39.551,-1000.000,0.000,1731707843.583
129,-1000.000,-41.016,-36.133,-1000.000,0.000,1731707843.587
130,-1000.000,-38.086,-39.062,-1000.000,0.000,1731707843.590
131,-1000.000,-53.223,-46.387,-1000.000,0.000,1731707843.594
132,-1000.000,-40.527,-45.898,-1000.000,0.000,1731707843.599
133,-1000.000,-26.855,-41.992,-1000.000,0.000,1731707843.602
134,-1000.000,-29.785,-37.109,-1000.000,0.000,1731707843.606
135,-1000.000,-36.621,-31.738,-1000.000,0.000,1731707843.609
136,-1000.000,-41.992,-31.250,-1000.000,0.000,1731707843.613
137,-1000.000,-25.391,-28.809,-1000.000,0.000,1731707843.616
138,-1000.000,-43.457,-28.320,-1000.000,0.000,1731707843.620
139,-1000.000,-71.289,-35.645,-1000.000,0.000,1731707843.623
140,-1000.000,-32.227,-41.504,-1000.000,0.000,1731707843.627
141,-1000.000,-12.695,-39.551,-1000.000,0.000,1731707843.630
142,-1000.000,-12.695,-32.715,-1000.000,0.000,1731707843.634
143,-1000.000,-18.555,-34.668,-1000.000,0.000,1731707843.637
144,-1000.000,-26.855,-40.527,-1000.000,0.000,1731707843.643
145,-1000.000,-26.855,-38.086,-1000.000,0.000,1731707843.646
146,-1000.000,-21.484,-31.738,-1000.000,0.000,1731707843.650
147,-1000.000,-26.855,-30.273,-1000.000,0.000,1731707843.653
148,-1000.000,-30.762,-31.738,-1000.000,0.000,1731707843.657
149,-1000.000,-15.625,-28.809,-1000.000,0.000,1731707843.660
150,-1000.000,-28.320,-27.832,-1000.000,0.000,1731707843.664
151,-1000.000,-44.434,-25.391,-1000.000,0.000,1731707843.667
152,-1000.000,-23.926,-23.438,-1000.000,0.000,1731707843.671
153,-1000.000,-12.207,-28.320,-1000.000,0.000,1731707843.674
