,TP9,AF7,AF8,TP10,Right AUX,timestamps
96,-1000.000,-51.758,-3.906,-1000.000,0.000,1731708174.272
97,-1000.000,-43.457,-2.441,-1000.000,0.000,1731708174.275
98,-1000.000,-37.109,-4.395,-1000.000,0.000,1731708174.279
99,-1000.000,-34.668,-17.090,-1000.000,0.000,1731708174.282
100,-1000.000,-35.645,-21.973,-1000.000,0.000,1731708174.286
101,-1000.000,-35.645,-15.137,-1000.000,0.000,1731708174.289
102,-1000.000,-19.531,-8.789,-1000.000,0.000,1731708174.293
103,-1000.000,-17.578,-10.742,-1000.000,0.000,1731708174.296
104,-1000.000,-47.363,-20.020,-1000.000,0.000,1731708174.299
105,-1000.000,-45.898,-20.020,-1000.000,0.000,1731708174.303
106,-1000.000,-23.438,-18.066,-1000.000,0.000,1731708174.306
107,-1000.000,-25.879,-14.648,-1000.000,0.000,1731708174.310
108,-1000.000,-20.996,-13.672,-1000.000,0.000,1731708174.315
109,-1000.000,-23.926,-24.414,-1000.000,0.000,1731708174.318
110,-1000.000,-28.809,-24.902,-1000.000,0.000,1731708174.321
111,-1000.000,-28.809,-23.438,-1000.000,0.000,1731708174.325
112,-1000.000,-36.133,-25.879,-1000.000,0.000,1731708174.328
113,-962.891,-32.715,-24.414,-1000.000,0.000,1731708174.332
114,-1000.000,-31.250,-24.902,-1000.000,0.000,1731708174.335
115,-812.500,-33.203,-27.832,-1000.000,0.000,1731708174.339
116,-26.855,-31.250,-30.273,-1000.000,0.000,1731708174.342
117,-492.188,-30.762,-37.598,-1000.000,0.000,1731708174.346
118,-1000.000,-31.738,-37.109,-1000.000,0.000,1731708174.349
119,-173.340,-22.949,-28.809,-1000.000,0.000,1731708174.352
120,-959.473,-18.555,0.000,-1000.000,0.000,1731708174.357
121,953.125,-26.855,0.000,-1000.000,0.000,1731708174.361
122,943.359,-29.297,0.000,-1000.000,0.000,1731708174.364
123,974.609,-26.367,0.000,-1000.000,0.000,1731708174.368
124,971.680,-26.855,0.000,-1000.000,0.000,1731708174.371
125,971.680,-28.320,0.000,-1000.000,0.000,1731708174.375
126,925.293,-21.484,0.000,-1000.000,0.000,1731708174.378
127,948.242,-45.410,0.000,-1000.000,0.000,1731708174.382
128,919.434,-51.758,0.000,-1000.000,0.000,1731708174.385
129,-898.926,-26.367,0.000,-1000.000,0.000,1731708174.389
130,148.926,-28.320,0.000,-1000.000,0.000,1731708174.392
131,-1000.000,-33.691,0.000,-1000.000,0.000,1731708174.396
132,0.000,-25.391,-17.578,-1000.000,0.000,1731708174.401
133,0.000,-23.926,-20.996,-1000.000,0.000,1731708174.404
134,0.000,-24.902,-24.902,-1000.000,0.000,1731708174.408
135,0.000,-17.090,-19.531,-1000.000,0.000,1731708174.411
136,0.000,-16.113,-18.066,-1000.000,0.000,1731708174.415
137,0.000,-10.254,-19.043,-1000.000,0.000,1731708174.418
138,0.000,-26.367,-20.020,-1000.000,0.000,1731708174.422
139,0.000,-49.805,-20.020,-1000.000,0.000,1731708174.425
140,0.000,-24.902,-16.602,-1000.000,0.000,1731708174.429
141,0.000,-11.230,-15.625,-1000.000,0.000,1731708174.432
142,0.000,-18.066,-15.137,-1000.000,0.000,1731708174.435
143,0.000,-20.996,-18.555,-1000.000,0.000,1731708174.439
144,-1000.000,-21.484,-22.461,-1000.000,0.000,1731708174.444
145,-981.445,-27.832,-22.949,-1000.000,0.000,1731708174.448
146,-979.004,-37.598,-21.973,-1000.000,0.000,1731708174.451
147,-992.676,-32.715,-32.227,-1000.000,0.000,1731708174.455
148,-982.910,-16.602,-38.574,-1000.000,0.000,1731708174.458
149,-995.117,-9.277,-37.109,-1000.000,0.000,1731708174.462
150,-142.090,-10.254,-43.457,-1000.000,0.000,1731708174.465
151,898.926,-11.230,-43.945,-1000.000,0.000,1731708174.469
152,984.863,-14.648,-44.434,-1000.000,0.000,1731708174.472
153,910.156,-12.207,-45.410,-1000.000,0.000,1731708174.476
154,979.004,-12.695,-40.527,-1000.000,0.000,1731708174.479
155,971.191,-17.578,-42.480,-1000.000,0.000,1731708174.483
156,0.000,-25.879,0.000,-1000.000,0.000,1731708174.490
157,0.000,-32.227,0.000,-1000.000,0.000,1731708174.493
158,0.000,-23.438,0.000,-1000.000,0.000,1731708174.497
159,0.000,-23.926,0.000,-1000.000,0.000,1731708174.500
160,0.000,-29.297,0.000,-1000.000,0.000,1731708174.504
161,0.000,-21.484,0.000,-1000.000,0.000,1731708174.507
162,0.000,-19.043,0.000,-1000.000,0.000,1731708174.511
163,0.000,-29.297,0.000,-1000.000,0.000,1731708174.514
164,0.000,-36.133,0.000,-1000.000,0.000,1731708174.518
165,0.000,-28.809,0.000,-1000.000,0.000,1731708174.521
166,0.000,-27.832,0.000,-1000.000,0.000,1731708174.525
167,0.000,-27.344,0.000,-1000.000,0.000,1731708174.529
168,255.371,-26.855,-33.203,-1000.000,0.000,1731708174.535
169,-1000.000,-39.062,-34.180,-1000.000,0.000,1731708174.539
170,-995.605,-43.945,-34.180,-1000.000,0.000,1731708174.543
171,-967.773,-36.133,-36.621,-1000.000,0.000,1731708174.546
172,-1000.000,-33.203,-34.668,-1000.000,0.000,1731708174.550
173,-933.105,-38.086,-36.133,-1000.000,0.000,1731708174.553
174,-1000.000,-38.574,-29.297,-1000.000,0.000,1731708174.557
175,-333.008,-28.809,-19.043,-1000.000,0.000,1731708174.560
176,-979.492,-26.367,-24.902,-1000.000,0.000,1731708174.564
177,847.168,-34.668,-22.461,-1000.000,0.000,1731708174.567
178,810.059,-27.832,-16.602,-1000.000,0.000,1731708174.571
179,931.641,-22.461,-14.160,-1000.000,0.000,1731708174.574
180,-909.668,-27.344,-16.602,-1000.000,0.000,1731708174.581
181,422.363,-31.250,-21.484,-1000.000,0.000,1731708174.584
182,-1000.000,-32.715,-16.602,-986.328,0.000,1731708174.588
183,-963.379,-26.855,-14.160,-989.746,0.000,1731708174.592
184,374.023,-24.902,-19.531,-1000.000,0.000,1731708174.595
185,-934.082,-13.184,-22.461,-127.930,0.000,1731708174.599
186,914.551,-10.254,-8.789,-177.246,0.000,1731708174.602
187,970.215,-28.809,1.465,-1000.000,0.000,1731708174.606
188,911.621,-41.504,-3.418,-980.957,0.000,1731708174.609
189,-895.508,-49.316,-5.859,-998.535,0.000,1731708174.613
190,211.914,-37.598,-7.324,-950.684,0.000,1731708174.616
191,-1000.000,-33.203,-4.395,-1000.000,0.000,1731708174.620
192,-198.730,-34.668,-3.906,-867.188,0.000,1731708174.627
193,-936.035,-16.113,-4.883,539.062,0.000,1731708174.630
194,948.242,-2.441,-13.184,-935.059,0.000,1731708174.634
195,942.383,-21.973,-6.836,-331.543,0.000,1731708174.637
196,977.539,-37.109,0.977,-1000.000,0.000,1731708174.641
197,975.098,-21.973,2.930,12.207,0.000,1731708174.644
198,904.297,-5.371,-0.977,-795.410,0.000,1731708174.648
199,-898.926,-9.766,-15.137,302.246,0.000,1731708174.651
200,297.852,-41.992,-16.602,-1000.000,0.000,1731708174.655
201,-1000.000,-51.270,-11.719,-1000.000,0.000,1731708174.659
202,-1000.000,-31.250,-11.719,-973.145,0.000,1731708174.662
203,-902.344,-28.320,-15.137,-949.219,0.000,1731708174.666
204,-1000.000,-34.180,-8.789,-1000.000,0.000,1731708174.672
205,-769.043,-27.344,-6.836,-682.129,0.000,1731708174.676
206,658.203,-7.812,-3.906,715.820,0.000,1731708174.679
207,-940.918,-8.301,-9.277,-958.008,0.000,1731708174.683
208,905.762,-9.277,-22.949,913.086,0.000,1731708174.686
209,983.887,-0.488,-26.367,978.027,0.000,1731708174.690
210,970.215,-6.348,-19.043,974.609,0.000,1731708174.694
211,970.215,-31.250,-15.625,973.633,0.000,1731708174.697
212,970.215,-41.992,-15.137,847.656,0.000,1731708174.701
213,970.703,-14.160,-12.695,898.926,0.000,1731708174.704
214,907.227,-11.230,2.441,943.848,0.000,1731708174.708
215,-891.113,-24.414,5.859,-923.340,0.000,1731708174.711
216,188.965,-23.438,-8.301,65.430,0.000,1731708174.718
217,-1000.000,-25.879,-7.812,-1000.000,0.000,1731708174.721
218,-984.375,-20.508,-20.020,-971.191,0.000,1731708174.725
219,-973.633,-28.320,-20.996,-978.516,0.000,1731708174.728
220,-944.824,-44.434,-6.836,-948.242,0.000,1731708174.732
221,-1000.000,-38.574,-11.719,-1000.000,0.000,1731708174.736
222,-211.914,-3.906,-19.043,-158.691,0.000,1731708174.739
223,-956.543,-16.113,-24.902,-944.824,0.000,1731708174.743
224,952.637,-35.645,-19.531,946.289,0.000,1731708174.746
225,943.359,-15.137,-17.578,947.754,0.000,1731708174.750
226,976.562,-8.789,-21.484,976.074,0.000,1731708174.754
227,969.727,-8.301,-24.414,970.215,0.000,1731708174.757
228,970.215,-21.484,-23.438,970.703,0.000,1731708174.763
229,969.727,-24.902,-20.508,970.703,0.000,1731708174.767
230,969.727,-7.812,-18.066,970.703,0.000,1731708174.770
231,969.727,-3.906,-20.508,970.703,0.000,1731708174.774
232,970.215,-14.160,-27.344,970.703,0.000,1731708174.778
233,970.215,-4.883,-31.250,970.703,0.000,1731708174.781
234,969.727,-10.742,-21.484,970.703,0.000,1731708174.785
235,969.727,-38.574,-18.555,970.703,0.000,1731708174.788
236,970.215,-35.645,-25.391,970.703,0.000,1731708174.792
237,969.727,-25.879,-24.414,970.703,0.000,1731708174.796
238,969.727,-20.020,-20.020,970.703,0.000,1731708174.799
239,969.727,-15.137,-16.602,970.215,0.000,1731708174.803
240,969.727,-11.230,-20.996,970.703,0.000,1731708174.809
241,969.727,-13.672,-35.156,969.238,0.000,1731708174.812
242,969.727,-6.836,-37.598,968.262,0.000,1731708174.816
243,970.215,-7.324,-20.996,970.703,0.000,1731708174.820
244,969.727,-20.020,-12.207,970.703,0.000,1731708174.823
245,969.727,-14.648,-18.555,970.703,0.000,1731708174.827
246,969.727,-22.949,-27.832,970.703,0.000,1731708174.830
247,982.422,-24.414,-31.738,980.469,0.000,1731708174.834
248,918.945,-10.742,-31.738,915.039,0.000,1731708174.838
249,-985.352,-20.020,-25.879,-956.543,0.000,1731708174.841
250,852.051,-31.250,-21.973,677.246,0.000,1731708174.845
251,-534.180,-42.969,-21.973,-680.176,0.000,1731708174.848
252,-1000.000,-40.527,-31.250,-1000.000,0.000,1731708174.854
253,-935.547,-28.809,-32.227,-944.336,0.000,1731708174.858
254,-947.266,-19.531,-35.645,-948.730,0.000,1731708174.861
255,-1000.000,-25.879,-42.969,-1000.000,0.000,1731708174.865
256,-230.469,-23.926,-30.762,-200.195,0.000,1731708174.869
257,-962.402,-25.391,-21.973,-953.613,0.000,1731708174.872
258,955.566,-40.527,-30.273,951.660,0.000,1731708174.876
259,941.895,-18.555,-43.457,944.824,0.000,1731708174.880
260,977.051,-19.043,-42.480,976.562,0.000,1731708174.883
261,969.727,-36.621,-36.133,970.703,0.000,1731708174.887
262,970.215,-34.668,-41.016,970.703,0.000,1731708174.890
263,969.727,-25.879,-39.551,970.703,0.000,1731708174.894
264,0.000,-31.250,-29.297,970.703,0.000,1731708174.901
265,0.000,-35.645,-24.414,970.703,0.000,1731708174.905
266,0.000,-29.297,-27.344,970.215,0.000,1731708174.908
267,0.000,-28.809,-31.250,970.703,0.000,1731708174.912
268,0.000,-29.297,-33.203,981.934,0.000,1731708174.915
269,0.000,-24.414,-33.691,897.949,0.000,1731708174.919
270,0.000,-12.695,-41.504,-899.414,0.000,1731708174.923
271,0.000,-12.207,-45.410,437.500,0.000,1731708174.926
272,0.000,-37.109,-43.457,-961.426,0.000,1731708174.930
273,0.000,-58.105,-42.480,-1000.000,0.000,1731708174.934
274,0.000,-53.223,-38.086,-962.402,0.000,1731708174.937
